Deck Type,Conc Type,Total,Topping,Deck Gage,1Span,2Span,3Span,Concrete + Deck (psf),4ft,5ft,6ft,7ft,8ft,9ft,10ft,11ft,12ft,13ft,14ft,15ft,16ft,Design,Deck Weight (psf)
1.5,NW,3.5,2,22,6.42,7.5,7.67,32.2,886,555,375,267,197,149,114,86,66,0,0,0,0,1.5VL22 GA w/ 2in NWC,1.6
1.5,NW,3.5,2,20,7.75,9.08,9.17,32.6,974,659,448,320,237,170,124,93,72,0,0,0,0,1.5VL20 GA w/ 2in NWC,2
1.5,NW,3.5,2,19,8.33,9.92,10.25,32.9,974,757,515,370,258,181,132,99,76,0,0,0,0,1.5VL19 GA w/ 2in NWC,2.3
1.5,NW,3.5,2,18,8.75,10.58,11,33.2,974,772,574,406,272,191,139,104,80,0,0,0,0,1.5VL18 GA w/ 2in NWC,2.6
1.5,NW,3.5,2,16,9.5,11.83,11.67,33.9,973,771,637,448,300,210,153,115,88,0,0,0,0,1.5VL16 GA w/ 2in NWC,3.3
1.5,NW,5,3.5,22,5.58,6.58,6.67,50.3,1560,980,665,475,352,267,207,162,128,0,0,0,0,1.5VL22 GA w/ 3.5in NWC,1.6
1.5,NW,5,3.5,20,6.75,7.83,7.92,50.7,1593,1174,800,574,427,327,255,202,161,0,0,0,0,1.5VL20 GA w/ 3.5in NWC,2
1.5,NW,5,3.5,19,7.25,8.67,8.83,51,1592,1264,925,666,498,383,300,239,193,0,0,0,0,1.5VL19 GA w/ 3.5in NWC,2.3
1.5,NW,5,3.5,18,7.67,9.25,9.5,51.3,1592,1263,1038,749,561,433,341,272,221,0,0,0,0,1.5VL18 GA w/ 3.5in NWC,2.6
1.5,NW,5,3.5,16,8.33,10.33,10.33,52,1591,1263,1043,887,697,540,427,329,253,0,0,0,0,1.5VL16 GA w/ 3.5in NWC,3.3
1.5,NW,6,4.5,22,5.25,6.08,6.17,62.4,2055,1292,878,629,467,355,276,217,172,0,0,0,0,1.5VL22 GA w/ 4.5in NWC,1.6
1.5,NW,6,4.5,20,6.25,7.25,7.42,62.8,2074,1552,1058,761,568,435,341,270,217,0,0,0,0,1.5VL20 GA w/ 4.5in NWC,2
1.5,NW,6,4.5,19,6.83,8,8.17,63.1,2073,1646,1228,885,663,510,401,321,259,0,0,0,0,1.5VL19 GA w/ 4.5in NWC,2.3
1.5,NW,6,4.5,18,7.17,8.58,8.83,63.4,2073,1646,1361,997,749,578,456,366,297,0,0,0,0,1.5VL18 GA w/ 4.5in NWC,2.6
